topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Numbers,Education & Literacy,Jo Rimberio,ocr,success,JO RIMBERIO | MATHEMATICS EDUCATION,EAGuvxFCk3w,Blue Pink Modern Simple Playful Mathematics Education Logo,https://www.canva.com/templates/EAGuvxFCk3w-blue-pink-modern-simple-playful-mathematics-education-logo/,https://template.canva.com/EAGuvxFCk3w/1/0/800w-QgYQvww-bAc.jpg,false,0001_EAGuvxFCk3w.jpg,numbers/images/0001_EAGuvxFCk3w.jpg,2026-08-06T10:07:24.977Z
Numbers,Education & Literacy,Borcelle,ocr,success,BORCELLE | ABACUS CENTRE,EAGm4dSVAxk,Orange and Black Modern Abacus Centre Logo,https://www.canva.com/templates/EAGm4dSVAxk-orange-and-black-modern-abacus-centre-logo/,https://template.canva.com/EAGm4dSVAxk/1/0/800w-f-6a9dbIp04.jpg,true,0002_EAGm4dSVAxk.jpg,numbers/images/0002_EAGm4dSVAxk.jpg,2026-08-06T10:07:25.123Z
