topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Social Media Marketing,Advertising & Marketing,Banana Leaf,ocr,success,BANANA LEAF | HOUSE,EAFB_cpk0qI,Banana Leaf Logo Template Social Media Illustration,https://www.canva.com/templates/EAFB_cpk0qI-banana-leaf-logo-template-social-media-illustration/,https://template.canva.com/EAFB_cpk0qI/1/0/800w-6bfH-dkNthk.jpg,false,0008_EAFB_cpk0qI.jpg,social-media-marketing/images/0008_EAFB_cpk0qI.jpg,2026-08-06T10:06:18.798Z
Social Media Marketing,Advertising & Marketing,Chat Media,ocr,success,CHAT MEDIA | MESSAGE,EAFPYu6J2kA,Blue Minimalist Chat Media Logo,https://www.canva.com/templates/EAFPYu6J2kA-blue-minimalist-chat-media-logo/,https://template.canva.com/EAFPYu6J2kA/1/0/800w-wgwF6HI3rwE.jpg,true,0006_EAFPYu6J2kA.jpg,social-media-marketing/images/0006_EAFPYu6J2kA.jpg,2026-08-06T10:06:18.510Z
Social Media Marketing,Advertising & Marketing,Social,ocr,success,SOCIAL,EAFMqsnF4H0,Blue Red Minimalist Social Business Logo,https://www.canva.com/templates/EAFMqsnF4H0-blue-red-minimalist-social-business-logo/,https://template.canva.com/EAFMqsnF4H0/1/0/800w-bfCPOgpsSIs.jpg,true,0001_EAFMqsnF4H0.jpg,social-media-marketing/images/0001_EAFMqsnF4H0.jpg,2026-08-06T10:06:17.797Z
Social Media Marketing,Advertising & Marketing,Community,ocr,success,x | COMMUNITY | SOCIAL COMMUNITY,EAFJgSSK0BI,Community Logo,https://www.canva.com/templates/EAFJgSSK0BI-community-logo/,https://template.canva.com/EAFJgSSK0BI/1/0/800w-xCZoCHLunCU.jpg,true,0003_EAFJgSSK0BI.jpg,social-media-marketing/images/0003_EAFJgSSK0BI.jpg,2026-08-06T10:06:18.081Z
Social Media Marketing,Advertising & Marketing,Community,ocr,success,COMMUNITY | SOCIAL COMMUNITY,EAFJgcowuJc,Community Logo,https://www.canva.com/templates/EAFJgcowuJc-community-logo/,https://template.canva.com/EAFJgcowuJc/1/0/800w--6K31MVVPOQ.jpg,true,0009_EAFJgcowuJc.jpg,social-media-marketing/images/0009_EAFJgcowuJc.jpg,2026-08-06T10:06:18.937Z
Social Media Marketing,Advertising & Marketing,Aldenaire,ocr,success,ALDENAIRE | AGENCY,EAFLVxdUG8I,Digital Marketing Advertise Logo,https://www.canva.com/templates/EAFLVxdUG8I-digital-marketing-advertise-logo/,https://template.canva.com/EAFLVxdUG8I/1/0/800w-09j2PRgi_A4.jpg,true,0004_EAFLVxdUG8I.jpg,social-media-marketing/images/0004_EAFLVxdUG8I.jpg,2026-08-06T10:06:18.213Z
Social Media Marketing,Advertising & Marketing,Drop Leaf,ocr,success,Drop Leaf | HOLDING COMPANY,EAE0FpswCVY,Drop Leaf logo,https://www.canva.com/templates/EAE0FpswCVY-drop-leaf-logo/,https://template.canva.com/EAE0FpswCVY/2/0/800w-2JzWogUuESI.jpg,false,0002_EAE0FpswCVY.jpg,social-media-marketing/images/0002_EAE0FpswCVY.jpg,2026-08-06T10:06:17.942Z
Social Media Marketing,Advertising & Marketing,Marketing,ocr,success,0 | Marketing | YOUR SLOGAN,EAEiVZ2GNc8,Green and Black Letter M Marketing Brand Logo,https://www.canva.com/templates/EAEiVZ2GNc8-green-and-black-letter-m-marketing-brand-logo/,https://template.canva.com/EAEiVZ2GNc8/1/0/800w-nIbhGqgMlUk.jpg,true,0007_EAEiVZ2GNc8.jpg,social-media-marketing/images/0007_EAEiVZ2GNc8.jpg,2026-08-06T10:06:18.660Z
Social Media Marketing,Advertising & Marketing,Smart Spark,ocr,success,SMART SPARK | CREATIVE AGENCY,EAFQDow0vn0,Orange Professional Smart Spark Creative Agency Logo,https://www.canva.com/templates/EAFQDow0vn0-orange-professional-smart-spark-creative-agency-logo/,https://template.canva.com/EAFQDow0vn0/1/0/800w-C4mHdrdf1IA.jpg,false,0005_EAFQDow0vn0.jpg,social-media-marketing/images/0005_EAFQDow0vn0.jpg,2026-08-06T10:06:18.355Z
