topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Environment,Science & Environment,Rocket,ocr,success,ROCKET | EARTH,EAFUI6VVVK0,black minimalist rocket earth logo,https://www.canva.com/templates/EAFUI6VVVK0-black-minimalist-rocket-earth-logo/,https://template.canva.com/EAFUI6VVVK0/1/0/800w-zm8RWD-dqmU.jpg,true,0002_EAFUI6VVVK0.jpg,environment/images/0002_EAFUI6VVVK0.jpg,2026-08-06T10:06:57.228Z
Environment,Science & Environment,planet line,ocr,success,planet line | ASTRONOMY,EAFRaxq4Zbk,blue orange minimalist planet line logo,https://www.canva.com/templates/EAFRaxq4Zbk-blue-orange-minimalist-planet-line-logo/,https://template.canva.com/EAFRaxq4Zbk/2/0/800w-5UpI8MCJD-0.jpg,true,0003_EAFRaxq4Zbk.jpg,environment/images/0003_EAFRaxq4Zbk.jpg,2026-08-06T10:06:57.389Z
Environment,Education & Literacy,Nature School,ocr,success,NATURE SCHOOL | LEARN | AND EXPLORE,EAGq0f9UlDA,Green Simple Modern Elegant Nature School Logo,https://www.canva.com/templates/EAGq0f9UlDA-green-simple-modern-elegant-nature-school-logo/,https://template.canva.com/EAGq0f9UlDA/1/0/800w-yqfiN2v_cj0.jpg,true,0001_EAGq0f9UlDA.jpg,environment/images/0001_EAGq0f9UlDA.jpg,2026-08-06T10:06:57.070Z
